UnitID,"10 Year Mean Earnings (0-30,000)","6 Year Mean Earnings (0-30,000)","6 Year Median Earnings (0-30,000)","8 Year Median Earnings (0-30,000)","10 Year Median Earnings (0-30,000)","Median Student Loan Debt (0-30,000)","Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort",year (year)
485926,NA,NA,NA,NA,NA,2333,81,latest
485953,NA,NA,NA,NA,NA,NA,NA,latest
485962,NA,NA,NA,NA,NA,NA,NA,latest
485999,NA,NA,NA,NA,NA,NA,NA,latest
486017,NA,NA,NA,NA,NA,NA,NA,latest
486026,NA,NA,NA,NA,NA,NA,NA,latest
486053,NA,NA,NA,NA,NA,NA,NA,latest
486080,NA,NA,NA,NA,NA,NA,NA,latest
486105,NA,NA,NA,NA,NA,NA,NA,latest
486123,NA,NA,NA,NA,NA,NA,NA,latest
486141,NA,NA,NA,NA,NA,NA,NA,latest
486150,NA,NA,NA,NA,NA,NA,NA,latest
486169,NA,NA,NA,NA,NA,9500,91,latest
486196,NA,NA,NA,NA,NA,NA,NA,latest
486202,NA,NA,NA,NA,NA,NA,NA,latest
486239,NA,NA,NA,NA,NA,NA,NA,latest
486248,NA,NA,NA,NA,NA,NA,29,latest
486257,NA,NA,NA,NA,NA,14000,110,latest
486284,NA,NA,NA,NA,NA,10500,54,latest
486309,NA,NA,NA,NA,NA,NA,NA,latest
486345,NA,NA,NA,NA,NA,6851,101,latest
486354,NA,NA,NA,NA,NA,NA,NA,latest
486372,NA,NA,NA,NA,NA,NA,NA,latest
486381,NA,NA,NA,NA,NA,9500,27,latest
486390,NA,NA,NA,NA,NA,NA,46,latest
486406,NA,NA,NA,NA,NA,NA,NA,latest
486415,NA,NA,NA,NA,NA,12412,223,latest
486424,NA,NA,NA,NA,NA,17713,64,latest
486433,NA,NA,NA,NA,NA,NA,NA,latest
486442,NA,NA,NA,NA,NA,9500,59,latest
486460,NA,NA,NA,NA,NA,NA,NA,latest
486488,NA,NA,NA,NA,NA,NA,NA,latest
486497,NA,NA,NA,NA,NA,NA,NA,latest
486503,NA,NA,NA,NA,NA,NA,NA,latest
486512,NA,NA,NA,NA,NA,3004,127,latest
486530,NA,NA,NA,NA,NA,7767,356,latest
486558,NA,NA,NA,NA,NA,19500,184,latest
486567,NA,NA,NA,NA,NA,8500,139,latest
486576,NA,NA,NA,NA,NA,NA,NA,latest
486594,NA,NA,NA,NA,NA,NA,NA,latest
486619,NA,NA,NA,NA,NA,4750,66,latest
486691,21300,19400,17635,20291,22667,6333,1187,latest
486707,20800,18800,22971,26015,24995,9500,1087,latest
486716,23600,20400,24270,26054,27795,8019,1098,latest
486752,23900,20600,23751,24384,25713,8609,1559,latest
486770,26600,20600,21897,21973,25618,7521,249,latest
486798,39800,29800,33856,34176,35177,7125,3906,latest
486813,27800,25400,32155,32394,32331,9500,7803,latest
486822,NA,NA,31307,NA,NA,8001,955,latest
486840,45200,36300,43283,48427,51960,15750,5216,latest
486859,NA,NA,20290,24343,18057,7000,35,latest
486868,NA,NA,18213,14165,NA,NA,39,latest
486877,43200,39800,49318,51406,56283,9500,127,latest
486886,43200,39800,49318,51406,56283,9500,127,latest
486901,41800,36300,38784,36284,42849,18500,78,latest
486938,46100,56000,69991,72402,73817,16577,9581,latest
486947,46100,56000,69991,72402,73817,16577,9581,latest
486956,46100,56000,69991,72402,73817,16577,9581,latest
486965,NA,NA,22754,23902,24982,9351,1345,latest
486983,NA,NA,NA,20436,NA,9500,35,latest
487010,NA,NA,61205,64044,73644,12500,120,latest
487047,NA,16600,20325,21921,22373,7480,2424,latest
487065,NA,NA,19920,NA,NA,7128,175,latest
487083,NA,NA,14947,21208,NA,9473,75,latest
487092,99300,74200,70283,70093,74490,15984,622,latest
487153,NA,NA,45622,50108,56210,9500,370,latest
487162,25500,24300,24859,25858,27721,NA,NA,latest
487232,NA,NA,18954,17079,21108,6078,185,latest
487302,23400,21600,27818,28006,28996,10000,1149,latest
487311,NA,19700,16390,20077,21251,6333,503,latest
487320,32600,28800,29433,31496,34195,6399,3342,latest
487348,NA,NA,26710,19294,NA,6211,231,latest
487375,25200,21700,28843,29456,27818,9500,1971,latest
487384,25700,21200,23017,24230,27001,9365,11479,latest
487393,25700,21200,23017,24230,27001,9365,11479,latest
487409,25700,21200,23017,24230,27001,9365,11479,latest
487418,25700,21200,23017,24230,27001,9365,11479,latest
487427,25700,21200,23017,24230,27001,9365,11479,latest
487436,25700,21200,23017,24230,27001,9365,11479,latest
487445,25700,21200,23017,24230,27001,9365,11479,latest
487454,25700,21200,23017,24230,27001,9365,11479,latest
487472,25700,21200,23017,24230,27001,9365,11479,latest
487481,25500,19900,25797,26673,27011,9500,11363,latest
487490,25700,21200,23017,24230,27001,9365,11479,latest
487506,NA,NA,22130,27599,34484,6333,266,latest
487524,39500,35600,32404,35877,43502,22215,524,latest
487533,NA,NA,NA,26987,NA,7307,195,latest
487588,22500,19400,26160,27242,25152,9500,2366,latest
487597,44400,33300,43585,44281,47773,10827,3443,latest
487603,46200,38600,44150,49697,51926,14881,343,latest
487621,NA,NA,NA,NA,NA,NA,NA,latest
487649,NA,NA,NA,NA,NA,NA,NA,latest
487658,NA,NA,NA,NA,NA,11803,29,latest
487676,NA,NA,27265,20646,NA,9833,197,latest
487746,NA,NA,NA,NA,NA,NA,NA,latest
487773,NA,NA,NA,NA,NA,NA,26,latest
487791,NA,NA,NA,NA,NA,9500,514,latest
487807,NA,NA,NA,NA,NA,NA,38,latest
487816,NA,NA,NA,NA,NA,NA,NA,latest
487852,NA,NA,NA,NA,NA,NA,NA,latest
487861,NA,NA,NA,NA,NA,10500,169,latest
487889,NA,NA,NA,NA,NA,NA,NA,latest
487898,NA,NA,NA,NA,NA,NA,NA,latest
487904,NA,NA,NA,NA,NA,NA,16,latest
487922,NA,NA,NA,NA,NA,8430,27,latest
487959,NA,NA,NA,NA,NA,6222,35,latest
487968,NA,NA,NA,NA,NA,NA,NA,latest
487977,NA,NA,NA,NA,NA,NA,NA,latest
487995,NA,NA,NA,NA,NA,NA,NA,latest
488004,NA,NA,NA,NA,NA,NA,NA,latest
488013,NA,NA,NA,NA,NA,NA,NA,latest
488022,NA,NA,NA,NA,NA,NA,NA,latest
488031,NA,NA,NA,NA,NA,NA,NA,latest
488059,NA,NA,NA,NA,NA,NA,60,latest
488068,NA,NA,NA,NA,NA,NA,12,latest
488077,NA,NA,NA,NA,NA,7449,543,latest
